date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
16/01/2024,140000.0,75009,Appartement,11.0,1.0,,9,12727.0
17/01/2024,220000.0,75020,Appartement,31.0,2.0,,20,7097.0
12/01/2024,283000.0,75020,Appartement,30.0,2.0,,20,9433.0
09/01/2024,286000.0,75020,Appartement,34.0,2.0,,20,8412.0
12/01/2024,1247000.0,75001,Appartement,72.0,3.0,,1,17319.0
04/01/2024,370000.0,75002,Appartement,58.0,3.0,,2,6379.0
11/01/2024,465000.0,75019,Appartement,44.0,3.0,,19,10568.0
09/01/2024,102000.0,75018,Local industriel. commercial ou assimilé,30.0,0.0,,18,3400.0
08/01/2024,291500.0,75018,Appartement,45.0,3.0,,18,6478.0
15/01/2024,334000.0,75020,Appartement,38.0,2.0,,20,8789.0
12/01/2024,900000.0,75018,Appartement,48.0,2.0,,18,18750.0
08/01/2024,1557000.0,75008,Appartement,115.0,3.0,,8,13539.0
08/01/2024,453300.0,75018,Appartement,48.0,3.0,,18,9444.0
05/01/2024,252000.0,75019,Appartement,34.0,1.0,,19,7412.0
12/01/2024,417500.0,75020,Appartement,41.0,2.0,,20,10183.0
05/01/2024,731000.0,75018,Local industriel. commercial ou assimilé,60.0,0.0,,18,12183.0
05/01/2024,731000.0,75018,Appartement,43.0,4.0,,18,17000.0
12/01/2024,632488.0,75003,Appartement,42.0,2.0,,3,15059.0
04/01/2024,505700.0,75020,Appartement,48.0,2.0,,20,10535.0
09/01/2024,565000.0,75018,Appartement,54.0,3.0,,18,10463.0
12/01/2024,1448950.0,75004,Appartement,110.0,3.0,,4,13172.0
12/01/2024,140000.0,75008,Appartement,17.0,1.0,,8,8235.0
08/01/2024,1144700.0,75017,Appartement,92.0,3.0,,17,12442.0
08/01/2024,371000.0,75010,Appartement,38.0,2.0,,10,9763.0
04/01/2024,1230000.0,75009,Appartement,110.0,5.0,,9,11182.0
09/01/2024,74000.0,75018,Appartement,15.0,1.0,,18,4933.0
04/01/2024,324400.0,75018,Appartement,30.0,2.0,,18,10813.0
10/01/2024,203600.0,75020,Appartement,35.0,2.0,,20,5817.0
15/01/2024,272000.0,75017,Appartement,34.0,2.0,,17,8000.0
10/01/2024,509709.0,75020,Appartement,73.0,3.0,,20,6982.0
17/01/2024,180000.0,75019,Appartement,25.0,1.0,,19,7200.0
08/01/2024,197980.0,75003,Appartement,19.0,1.0,,3,10420.0
16/01/2024,1500000.0,75009,Appartement,108.0,4.0,,9,13889.0
